song,artist,id
Uptown Funk,Mark Ronson featuring Bruno Mars,32OlwWuMpZ6b0aN2RZOeMS
Thinking Out Loud,Ed Sheeran,34gCuhDGsG4bRPIf9bb02f
See You Again,Wiz Khalifa featuring Charlie Puth,2JzZzZUQj3Qff7wapcbKjc
Trap Queen,Fetty Wap,2d8JP84HNLKhmd6IYOoupQ
Sugar,Maroon 5,2iuZJX9X9P0GKaE93xcPjk
Shut Up and Dance,Walk the Moon,4kbj5MwxO1bq9wjT5g9HaA
Blank Space,Taylor Swift,1p80LdxRV74UKvL8gnD7ky
Watch Me,Silentó,5RIVoVdkDLEygELLCniZFr
Earned It,The Weeknd,2PIvq1pGrUjY007X5y1UpM
The Hills,The Weeknd,7fBv7CLKzipRk6EC6TWHOB
Cheerleader,OMI,023OVLNzXhX0j7CxswUt6D
Can't Feel My Face,The Weeknd,22VdIZQfgXJea34mQxlt81
Love Me Like You Do,Ellie Goulding,2l8w0zZVn4AZNuzrht7MRT
Take Me to Church,Hozier,0aOluBqXYd0rFSCsgDyAWX
Bad Blood,Taylor Swift featuring Kendrick Lamar,6xsEAm6w9oMQYYg3jkEkMT
Lean On,Major Lazer and DJ Snake featuring MØ,5wldXGLEOoRXxMWJ8rIUWE
Want to Want Me,Jason Derulo,7oGZAicScQt96OAW4AruYy
Shake It Off,Taylor Swift,5xTtaWoae3wi06K5WfVUUH
Where Are Ü Now,Skrillex and Diplo featuring Justin Bieber,66hayvUbTotekKU3H4ta1f
Fight Song,Rachel Platten,37f4ITSlgPX81ad2EvmVQr
679,Fetty Wap featuring Remy Boyz,5NQbUaeTEOGdD6hHcre0dZ
Lips Are Movin,Meghan Trainor,6gj08XDlv9Duc2fPOxUmVD
Worth It,Fifth Harmony featuring Kid Ink,41Fflg7qHiVOD6dEPvsCzO
Post to Be,Omarion featuring Chris Brown and Jhené Aiko,0fgZUSa7D7aVvv3GfO0A1n
"Honey, I'm Good.",Andy Grammer,4orphgwPHHRsdEkfUmANSD
I'm Not the Only One,Sam Smith,0fioLzGM8ngbD1w6fMmm45
Good for You,Selena Gomez featuring ASAP Rocky,578Eooad7oUyn4stovZiPg
All About That Bass,Meghan Trainor,0ifSeVGUr7py5GggttDhXw
Style,Taylor Swift,1fo2ctLqj3zBhRQKOXprol
Hotline Bling,Drake,0wwPcA6wtMf6HUMpIRdeP7
Hey Mama,"David Guetta featuring Nicki Minaj, Bebe Rexha, and Afrojack",5b2bu6yyATC1zMXDGScJ2d
G.D.F.R.,Flo Rida featuring Sage the Gemini and Lookas,26rdOwwjC2UnweK3xeS58u
What Do You Mean?,Justin Bieber,4B0JvthVoAAuygILe3n4Bs
Photograph,Ed Sheeran,1HNkqx9Ahdgi1Ixy2xkKkL
Hello,Adele,0ENSn4fwAbCGeFGVUbXEU3
Stitches,Shawn Mendes,5jsw9uXEGuKyJzs0boZ1bT
Talking Body,Tove Lo,4K2uH46kwmTFGjNlkeFuGI
Jealous,Nick Jonas,2RqtfcLB7iOZj0zYB8Auhu
Time of Our Lives,Pitbull and Ne-Yo,2bJvI42r8EF3wxjOuDav4r
Locked Away,R. City featuring Adam Levine,0sQLhT32E9ZG2zn5iYR6nN
Somebody,Natalie La Rose featuring Jeremih,7ioiB40H9xKs04QtIso2I3
FourFiveSeconds,"Rihanna, Kanye West, and Paul McCartney",78TTtXnFQPzwqlbtbwqN0y
Centuries,Fall Out Boy,04aAxqtGp5pv12UXAg4pkq
My Way,Fetty Wap featuring Monty,1WoOzgvz6CgH4pX6a1RKGp
Take Your Time,Sam Hunt,6DEaND0SHv3sC11xobZLiy
Animals,Maroon 5,2bL2gyO6kBdLkNSkxXNh6x
I Don't Fuck with You,Big Sean featuring E-40,7FYH5AW3bVfZHJIQpq3UOA
Bitch Better Have My Money,Rihanna,0NTMtAO2BV4tnGvw9EgBVq
"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan,2LLFl56eIFGFlnrplUC26f
Nasty Freestyle,T-Wayne,0PT7nlpo11hYYyfnBgtilT
Only,"Nicki Minaj featuring Drake, Lil Wayne, and Chris Brown",4MRT0dDbhqFKl67WzhUbSw
Elastic Heart,Sia,5S9lfZu1YF8xKkgSsqL2Bd
Cool for the Summer,Demi Lovato,2zFF6jG5hQArbzcXz3KUWk
Renegades,X Ambassadors,0fYVliAYKHuPmECRs1pbRf
I Don't Mind,Usher featuring Juicy J,7aXuop4Qambx5Oi3ynsKQr
Love Me Harder,Ariana Grande and The Weeknd,5J4ZkQpzMUFojo1CtAZYpn
Wildest Dreams,Taylor Swift,59HjlYCeBsxdI0fcm3zglw
Stay with Me,Sam Smith,5Db9VIdDsN5yu3Eu7CT0i4
You Know You Like It,DJ Snake and AlunaGeorge,57kR5SniQIbsbVoIjjOUDa
Uma Thurman,Fall Out Boy,5PUawWFG1oIS2NwEcyHaCr
11-Jul,Beyoncé,02M6vucOvmRfMxTXDUwRXu
The Heart Wants What It Wants,Selena Gomez,2dRvMEW4EwySxRUtEamSfG
Girl Crush,Little Big Town,11qh54D0PKkBwelpDxxiEU
Slow Motion,Trey Songz,4NYwy0R3NdvORX2B6OZXBT
Drag Me Down,One Direction,2K87XMYnUMqLcX3zvtAF4G
Truffle Butter,"Nicki Minaj featuring Drake, and Lil Wayne",3keUgTGEoZJt0QkzTB6kHg
One Last Time,Ariana Grande,7xoUc6faLbCqZO6fQEYprd
Chains,Nick Jonas,5Eg4TsPcqNbIjd8ADMZosg
All Eyes on You,Meek Mill featuring Chris Brown and Nicki Minaj,0hy1SOTEn9ifXTzOwnCwEr
No Type,Rae Sremmurd,4scpF6J5uMBvoh6sFB7EL1
Riptide,Vance Joy,3JvrhDOgAt6p7K8mDyZwRd
Classic Man,Jidenna featuring Roman GianArthur,3G7XYAwtxtoGK7fAm4IlD9
Ex's & Oh's,Elle King,70eDxAyAraNTiD6lx2ZEnH
Dear Future Husband,Meghan Trainor,3cU2wBxuV6nFiuf6PJZNlC
Marvin Gaye,Charlie Puth featuring Meghan Trainor,6ukMqDxnOPOgoHdak7Kyp3
Like I'm Gonna Lose You,Meghan Trainor featuring John Legend,2YlZnw2ikdb837oKMKjBkW
Habits (Stay High),Tove Lo,14OxJlLdcHNpgsm4DRwDOB
The Hanging Tree,James Newton Howard featuring Jennifer Lawrence,416MsJxvxSKY96DCmbJIRs
CoCo,O.T. Genasis,2JI71GHwq2LN8mtq3iCLYo
Bang Bang,"Jessie J, Ariana Grande, and Nicki Minaj",466s1BacUmiRdR3ISvNjyx
Lay Me Down,Sam Smith,1fnCJ85pEhKrpU9IsxoitM
Tuesday,ILoveMakonnen featuring Drake,2znzyzlAUc8Z1Ikq9aFOcx
Hit the Quan,iLoveMemphis,4Kdn7vw98rMaKi3rMIZRIR
Downtown,"Macklemore and Ryan Lewis featuring Eric Nally, Melle Mel, Kool Moe Dee, and Grandmaster Caz",5pfJsMwoRYKampPay8amX0
House Party,Sam Hunt,1TwLKNsCnhi1HxbIi4bAW0
Ayo,Chris Brown and Tyga,0k6DnZMLoEUH8NGD5zh2SE
Kick the Dust Up,Luke Bryan,5g15o2Sm55Hn9ShK5yEXgp
Blessings,"Big Sean featuring Drake, and Kanye West",4UaWrzY75h1tAvlxa4NKP9
Budapest,George Ezra,7q0aQpiLv5tIsupcgQ3Ny4
Chandelier,Sia,2s1sdSqGcKxpPr5lCl7jAV
Heartbeat Song,Kelly Clarkson,7FC9Lng8iXU081lbigu8m8
Don't,Ed Sheeran,1huvTbEYtgltjQRXzrNKGi
Ghost,Ella Henderson,2FiceoWDJ67rrmb5tGBpgE
Here,Alessia Cara,1wYZZtamWTQAoj8B812uKQ
Waves,Mr Probz,2gGIhNmn8NaUr3LNofUIBZ
El Perdón,Nicky Jam and Enrique Iglesias,7qCAVkHWZkF44OzOUKf8Cr
She Knows,Ne-Yo featuring Juicy J,7seTcUFOhn5caSDbiSfsp0
Night Changes,One Direction,5O2P9iiztwhomNh8xkR9lJ
Back to Back,Drake,5lFDtgWsjRJu8fPOAyJIAK
How Deep Is Your Love,Calvin Harris and Disciples,22mek4IiqubGD9ctzxc69s
