song,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Love Yourself,Justin Bieber,50kpGaPAhYJ3sGmk6vplg0,0.607,0.376,4,-9.954,1,0.453,0.856,0.0,0.285,0.545,102.541,233720,4
Sorry,Justin Bieber,09CtPGIpYB4BrO8qb1RGsF,0.605,0.768,0,-3.724,0,0.0476,0.0865,0.0,0.308,0.414,100.209,200787,4
One Dance,Drake featuring Wizkid and Kyla,1zi7xx7UVEFkmKfv06H8x0,0.796,0.61,1,-5.857,1,0.0516,0.00842,0.00286,0.351,0.391,103.99,173987,4
Work,Rihanna featuring Drake,32lmL4vQAAotg6MrJnhlQZ,0.667,0.538,11,-6.294,1,0.0953,0.0644,0.0,0.0928,0.527,91.296,219320,4
Stressed Out,Twenty One Pilots,3CRDbSIZ4r5MsZ0YwxuEkn,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,202333,4
Panda,Desiigner,275a9yzwGB6ncAW4SxY7q3,0.72,0.748,10,-5.522,0,0.393,0.0235,0.0,0.369,0.246,145.22,247867,4
Hello,Adele,0ENSn4fwAbCGeFGVUbXEU3,0.481,0.451,5,-6.095,0,0.0347,0.336,0.0,0.0872,0.289,157.966,295493,4
Don't Let Me Down,The Chainsmokers featuring Daya,1i1fxkWeaMmKEB4T7zqbzK,0.532,0.869,11,-5.094,1,0.172,0.157,0.00508,0.136,0.422,159.803,208373,4
Can't Stop the Feeling!,Justin Timberlake,1WkMMavIMc4JZ8cfMmxHkI,0.669,0.832,0,-5.72,1,0.0682,0.0106,0.0,0.0968,0.7,113.035,237547,4
Closer,The Chainsmokers featuring Halsey,7BKLCZ1jbUBVqRi2FVlTVw,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,244960,4
Cheap Thrills,Sia featuring Sean Paul,6b3b7lILUJqXcp6w9wNQSm,0.592,0.8,6,-4.931,0,0.215,0.0561,2.01e-06,0.0775,0.728,89.972,224813,4
7 Years,Lukas Graham,5kqIPrATaCc2LqxVWzQGbk,0.765,0.473,10,-5.829,1,0.0514,0.287,0.0,0.391,0.34,119.992,237300,4
Needed Me,Rihanna,1Tt4sE4pXi57mTD1GCzsqm,0.688,0.325,5,-8.083,0,0.251,0.107,0.0,0.0837,0.275,110.888,191600,4
My House,Flo Rida,6Knv6wdA0luoMUuuoYi2i1,0.688,0.702,7,-4.792,0,0.0499,0.0215,0.0,0.128,0.74,94.006,192191,4
I Took a Pill in Ibiza,Mike Posner,1MtUq6Wp1eQ8PC6BbPCj8P,0.665,0.725,7,-6.588,0,0.12,0.034,9.17e-06,0.0864,0.703,101.96,197933,4
Work from Home,Fifth Harmony featuring Ty Dolla $ign,4tCtwWceOPWzenK2HAIJSb,0.803,0.585,8,-5.861,1,0.0432,0.103,3.94e-06,0.0644,0.593,105.017,214480,4
This Is What You Came For,Calvin Harris featuring Rihanna,0azC730Exh71aQlOt9Zj3y,0.63,0.928,9,-2.787,0,0.0331,0.199,0.124,0.148,0.465,123.963,222160,4
Cake by the Ocean,DNCE,76hfruVvmfQbw0eYn1nmeC,0.774,0.765,4,-5.439,0,0.0502,0.156,0.0,0.0373,0.917,119.001,219147,4
"Me, Myself & I",G-Eazy and Bebe Rexha,40YcuQysJ0KlGQTeGUosTC,0.757,0.672,0,-6.524,0,0.0955,0.0186,0.0,0.158,0.382,111.996,251467,4
Ride,Twenty One Pilots,2Z8WuEywRWYTKe1NybPQEW,0.645,0.713,6,-5.355,1,0.0393,0.00835,0.0,0.113,0.566,74.989,214507,4
Heathens,Twenty One Pilots,6i0V12jOa3mr6uu4WYhUBr,0.732,0.396,4,-9.348,0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,195920,4
Pillowtalk,Zayn,0PDUDa38GO8lMxLCRc4lL1,0.584,0.7,11,-4.275,1,0.0456,0.117,0.0,0.0939,0.438,124.944,202747,4
Stitches,Shawn Mendes,5jsw9uXEGuKyJzs0boZ1bT,0.592,0.752,1,-6.589,1,0.114,0.0196,0.0,0.0477,0.726,74.784,206880,4
Hotline Bling,Drake,0wwPcA6wtMf6HUMpIRdeP7,0.903,0.621,2,-8.132,1,0.0578,0.00302,0.000186,0.0504,0.553,134.969,267067,4
Cold Water,Major Lazer featuring Justin Bieber and MØ,7zsXy7vlHdItvUSH8EwQss,0.602,0.797,6,-5.084,0,0.0534,0.055,0.0,0.187,0.492,92.928,185360,4
Send My Love (To Your New Lover),Adele,4BHzQ9C00ceJxfG16AlNWb,0.69,0.524,6,-8.39,0,0.103,0.0415,3.16e-06,0.17,0.562,164.023,223080,4
Roses,The Chainsmokers featuring Rozes,3vv9phIu6Y1vX3jcqaGz5Z,0.713,0.802,4,-7.055,1,0.0561,0.0435,0.00377,0.309,0.343,100.001,226739,4
Treat You Better,Shawn Mendes,3QGsuHI8jO1Rx4JWLUh9jd,0.672,0.81,10,-4.104,0,0.226,0.118,0.0,0.106,0.771,82.888,187973,4
Too Good,Drake featuring Rihanna,3BtuIIrQlkujKPuWF2B85z,0.82,0.641,4,-7.811,0,0.116,0.0662,5.07e-05,0.102,0.395,117.974,263373,4
Low Life,Future featuring The Weeknd,7EiZI6JVHllARrX9PUvAdX,0.722,0.331,8,-7.789,1,0.0725,0.337,0.283,0.146,0.102,143.974,313547,4
